2025-03-14 14:54:47,006 INFO    Thread-31 (_run_job):11904 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-14 14:54:47,007 INFO    Thread-31 (_run_job):11904 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-14 14:54:47,008 INFO    Thread-31 (_run_job):11904 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-14 14:54:47,009 INFO    Thread-31 (_run_job):11904 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-14 14:54:47,017 INFO    Thread-31 (_run_job):11904 [wandb_init.py:setup_run_log_directory():647] Logging user logs to c:\Users\prajv\Downloads\ass1\DA6401_ASSIGNMENT1\wandb\run-20250314_145447-5gfds50h\logs\debug.log
2025-03-14 14:54:47,017 INFO    Thread-31 (_run_job):11904 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to c:\Users\prajv\Downloads\ass1\DA6401_ASSIGNMENT1\wandb\run-20250314_145447-5gfds50h\logs\debug-internal.log
2025-03-14 14:54:47,017 INFO    Thread-31 (_run_job):11904 [wandb_init.py:init():761] calling init triggers
2025-03-14 14:54:47,017 INFO    Thread-31 (_run_job):11904 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activationFunc': 'sigmoid', 'batchSize': 32, 'hiddenLayer_Size': 32, 'learningRate': 0.001, 'num_epochs': 5, 'num_hiddenLayers': 3, 'optimizer': 'nesterov', 'weightDecay': 0, 'weightInit': 'xavier'}
config: {'num_epochs': 10, 'num_hiddenLayers': 3, 'hiddenLayer_Size': 40, 'weightDecay': 0, 'learningRate': 0.001, 'optimizer': 'Nesterov_Accelerated_GD', 'batchSize': 32, 'weightInit': 'xavier', 'activationFunc': 'sigmoid', '_wandb': {}}
2025-03-14 14:54:47,017 INFO    Thread-31 (_run_job):11904 [wandb_init.py:init():776] wandb.init() called while a run is active
2025-03-14 14:54:56,310 INFO    Thread-31 (_run_job):11904 [wandb_run.py:_finish():2112] finishing run da6401-assignments/assignment1/5gfds50h
2025-03-14 14:54:56,314 ERROR   Thread-31 (_run_job):11904 [jupyter.py:save_history():450] Run pip install nbformat to save notebook history
2025-03-14 14:54:56,314 INFO    Thread-31 (_run_job):11904 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-14 14:54:56,314 INFO    Thread-31 (_run_job):11904 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-14 14:54:56,314 INFO    Thread-31 (_run_job):11904 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-14 14:54:56,318 INFO    Thread-31 (_run_job):11904 [wandb_run.py:_restore():2322] restore
2025-03-14 14:54:56,318 INFO    Thread-31 (_run_job):11904 [wandb_run.py:_restore():2328] restore done
2025-03-14 14:54:57,869 INFO    Thread-31 (_run_job):11904 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-14 14:54:57,869 INFO    Thread-31 (_run_job):11904 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-14 14:54:57,869 INFO    Thread-31 (_run_job):11904 [wandb_run.py:_footer_sync_info():3917] logging synced files
